"A(0,0,0)",,
"Sol","(0,0,0)",
"Proxima Centauri","(0.9,-0.9,0)",
"Rigel Kentaurus B","(1,-0.9,0)",
"Rigel Kentaurus A","(1,-0.9,0)",
"Barnard's Star","(1.5,0.9,0.4)",
"Gl 406","(-0.6,-1.2,2)",
"Lalande 21185","(-1.1,-0.1,2.3)",
"Gl 65","(-0.6,0.1,-2.5)",
"Gl 65 B","(-0.6,0.1,-2.5)",
"Gl 244 B","(-1.8,-1.9,-0.4)",
"Sirius","(-1.8,-1.9,-0.4)",
"Gl 729","(2.9,0.6,-0.5)",
"Gl 905","(-1,2.8,-0.9)",
"18 Epsilon Eridani","(-2.1,-0.6,-2.4)",
"Gl 447","(0,-1.7,2.9)",
"Lacaille 9352","(1.3,0.1,-3)",
"Gl 866","(1.3,1.4,-2.8)",
"Gl 280 B","(-2.8,-1.9,0.8)",
"Procyon","(-2.8,-1.9,0.8)",
"Gl 15 B","(-1.5,3,-1.1)",
"GJ 1111","(-2.9,-0.9,1.9)",
"Gl 15","(-1.5,3,-1.1)",
"Epsilon Indi","(2.2,-1,-2.7)",
"Kapteyn's Star","(-1.1,-3,-2.3)",
"Lacaille 8760","(2.8,0.2,-2.8)",
"NN 3522","(-2.9,-2.4,2.4)",

"A(-1,0,0)",,
"Luyten's Star","(-3.2,-2,0.7)",
"Gl 234 B","(-3.4,-2.2,-0.4)",
"Gl 234","(-3.4,-2.2,-0.4)",
"NN 3379","(-4.8,-2.2,-0.9)",
"Gl 169.1B","(-4.6,2.9,0.7)",
"Gl 169.1","(-4.6,2.9,0.7)",
"Hip 33226","(-5.3,-0.3,1.4)",
"BD-03�1123","(-4.8,-2.4,-1.9)",
"Gl 251","(-5.6,-0.3,1.5)",
"Gl 213","(-5.6,-1.4,-0.9)",
"NN 3323","(-4.9,-2.4,-2.8)",
"Gl 268","(-6,0.1,2.2)",
"GJ 1093","(-7.3,-2.2,1.4)",
"GJ 1087","(-7.3,-2.9,-1.3)",
"Gl 232","(-8.2,-1.3,0.7)",
"Gl 203","(-8.2,-2.1,-2.1)",
"54 Chi 1 Orionis","(-8.6,-1.3,-0.4)",
"Gl 176","(-8.9,0,-2.8)",
"NN 3380","(-8.6,2.6,2.1)",
"BD+18�683","(-9,0,-2.8)",

"A(1,0,0)",,
"Gl 563.2B","(3.3,-1.6,2.1)",
"BD-12�4523","(3.9,0.2,1.7)",
"Gl 563.2","(3.5,-1.7,2.2)",
"Gl 674","(4.3,-1.3,-0.5)",
"Hip 82725","(4.1,-2.6,-1)",
"Gl 682","(4.9,-1.2,-0.6)",
"Gl 702 B","(4.3,2.5,1)",
"70 Ophiuchi","(4.3,2.5,1)",
"Gl 644 B","(5.3,1,2.1)",
"Gl 644 C","(5.3,1,2.1)",
"Gl 754","(5.2,-0.7,-2.3)",
"Gl 644","(5.3,1,2.1)",
"Gl 693","(5.1,-2.4,-1.5)",
"Gl 588","(5.2,-2.7,1.2)",
"36 Ophiuchi","(5.9,-0.2,0.7)",
"36 Ophiuchi","(5.9,-0.2,0.7)",
"Gl 664","(5.9,-0.2,0.7)",
"NN 3877","(5,-2.4,2.8)",
"Hip 86961","(6.2,-0.3,-0.2)",
"Hip 86963","(6.2,-0.3,-0.2)",
"Gl 643","(5.9,1.2,2.3)",
"Gl 667 B","(6.9,-1,0.2)",
"Gl 667 C","(6.9,-1,0.2)",
"Gl 667","(6.9,-1,0.2)",
"GJ 1224","(7.3,1.8,0.3)",
"BD+02�3312","(6.6,3,2.6)",
"Hip 93449","(7.8,0,-2.5)",
"Gl 618 B","(8,-2.5,1.3)",
"Gl 618","(8,-2.5,1.3)",
"Gl 666 B","(8.3,-2.7,-0.8)",
"Gl 666","(8.3,-2.7,-0.8)",

"A(0,1,0)",,
"Gl 725 B","(0,3.2,1.4)",
"61 Cygni","(0.5,3.4,-0.4)",
"61 Cygni","(0.5,3.5,-0.4)",
"Gl 725","(0,3.3,1.5)",
"Gl 860 B","(-1,3.9,0)",
"Kr�ger 60","(-1,3.9,0)",
"Gl 687","(-0.6,3.8,2.4)",
"GJ 1245","(0.9,4.6,0.7)",
"GJ 1245 B","(0.9,4.6,0.7)",
"Hip 85605","(2.9,3.2,2.3)",
"Gl 873","(-0.9,4.8,-1.1)",
"61 Sigma Draconis","(-1,5.2,2.1)",
"Gl 892","(-2.2,6.1,-0.4)",
"Gl 829","(2.2,5.8,-2.7)",
"Gl 809","(-1,6.8,1.4)",
"Vega","(2.8,6.8,2.6)",
"Gl 793","(-1.3,7.6,2.1)",
"NN 4063","(2.8,7.1,2.8)",
"GJ 1253","(-0.6,9.1,1.9)",

"A(-1,1,0)",,
"Gl 34 B","(-3.2,5,-0.5)",
"24 Eta Cassiopeiae","(-3.2,5,-0.5)",
"Gl 53 B","(-4.3,6.1,-1)",
"NN 3378","(-6.5,3.2,2.2)",
"30 Mu Cassiopeiae","(-4.3,6.1,-1)",
"Gl 48","(-4.5,6.7,1.3)",
"Gl 51","(-5.1,7.4,-0.1)",
"NN 3126","(-6.5,7.6,0.3)",
"Gl 75","(-6.3,7.7,0.3)",
"Gl 22 B","(-5.2,8.6,0.8)",
"Gl 22","(-5.2,8.6,0.8)",
"BD+61�195","(-5.7,8.3,-0.1)",
"BD+52�857","(-9.1,4.6,0.7)",
"NN 3182","(-7.8,6.7,-0.8)",
"NN 3125","(-6.3,8.1,2.1)",
"Iota Persei","(-8.5,6.1,-1.4)",
"Gl 47","(-6.1,9,-0.3)",
"Gl 63","(-7,8.5,-1)",
"Gl 107 B","(-8.6,6.9,-1.9)",
"13 Theta Persei","(-8.6,6.9,-1.9)",
"BD+47�612","(-8.7,7.7,-2.5)",
"Gl 82","(-8,9,-0.7)",
"GJ 1053","(-7.9,8.7,2.8)",

"A(1,1,0)",,
"Altair","(3.4,3.8,-0.8)",
"Gl 752 B","(4.5,3.8,-0.3)",
"Gl 752","(4.5,3.8,-0.3)",
"GJ 1230","(4.2,5.8,1.7)",
"GJ 1230 B","(4.2,5.8,1.7)",
"BD-03�4233","(7,3.2,1.2)",
"Gl 747","(3.5,7.2,1.6)",
"Gl 747 B","(3.5,7.2,1.6)",
"Gl 745","(5.1,6.9,0.9)",
"Gl 791.2","(5,6.7,-2.5)",
"Gl 745 B","(5.3,7.1,0.9)",
"GJ 1256","(4.7,8.2,-2.7)",
"Gl 748","(8,6.2,-0.6)",
"GJ 1235","(5.8,8.3,0.5)",
"NN 4071","(7.4,7.2,1.5)",
"GJ 1232","(6.7,8.3,0.7)",
"GJ 1236","(8,7.4,-0.7)",
"BD+05�3993","(8.6,7,0.2)",
"NN 4065","(8,7.6,1.8)",
"Gl 772","(8.7,7.1,-3)",
"Gl 735","(8.8,7.6,0.6)",

"A(0,-1,0)",,
"NN 3618","(1.4,-4.3,-0.2)",
"NN 3622","(-0.5,-3.4,3)",
"Gl 440","(2,-4.1,-0.2)",
"Gl 300","(-2.8,-5.1,0.7)",
"GJ 1128","(1.8,-5.8,-1.3)",
"Hip 54298","(1.9,-6.1,0.7)",
"Gl 293","(1.2,-6.4,-2.3)",
"Gl 257 B","(-2.1,-7.4,-2.4)",
"Gl 257","(-2.1,-7.4,-2.4)",
"GJ 1123","(2.9,-7.1,-2.7)",
"Gl 318","(-2.4,-8.5,0.9)",

"A(-1,-1,0)",,
"BD-21�1377","(-3.6,-4.1,-1.8)",
"Gl 285","(-4.7,-3.4,1.4)",
"NN 3454","(-5.1,-3.2,1.4)",
"Gl 223.2","(-5.4,-3.1,-1.6)",
"Gl 299","(-5.2,-3.5,2.5)",
"Gl 250 B","(-6.9,-5.3,-0.3)",
"BD-05�1844","(-6.9,-5.3,-0.3)",
"GJ 1103","(-6.6,-5.5,2)",
"GJ 1103 B","(-6.6,-5.5,2)",
"Gl 283","(-5.2,-7.2,0.4)",
"Gl 283 B","(-5.2,-7.2,0.4)",
"GJ 2066","(-6.4,-5.7,3)",
"NN 3459","(-5.9,-9.1,0.1)",

"A(1,-1,0)",,
"NN 3737","(3.3,-5.7,3)",
"Gl 480.1","(3.7,-6.2,2.5)",
"Gl 438","(3.2,-7.7,1.4)",
"Hip 82724","(7.5,-4.8,-1.9)",
"Gl 633","(8.9,-3.5,0.1)",
"Gl 479","(4.9,-8.1,1.8)",
"Hip 69454","(8.1,-8.4,0.9)",
"Gl 542","(8.2,-8.5,0.3)",
"Zeta Trianguli Australis","(8.9,-7.6,-3)",

"A(0,0,1)",,
"Gl 473","(0.4,-1.3,4.1)",
"Gl 473 B","(0.4,-1.3,4.1)",
"Gl 412 B","(-2.1,0.4,4.3)",
"Gl 412","(-2.1,0.4,4.3)",
"Gl 388","(-2.3,-1.7,4)",
"Groombridge 1618","(-2.9,0.7,3.8)",
"BD+15�2620","(1.6,-0.2,5.2)",
"Gl 402","(-1.5,-2.9,4.6)",
"GJ 2097","(0.7,-0.4,6.4)",
"GJ 1156","(0.2,-2,6.2)",
"Gl 408","(-2.3,-1.7,6)",
"Gl 566 B","(3,1.3,5.9)",
"37 Xi Bo�tis","(3,1.3,5.9)",
"BD+11�2576","(2.2,-1.1,7.2)",
"NN 3789","(0.8,1,7.8)",
"Gl 493.1","(1.9,-2.3,7.6)",
"GJ 1151","(-2.9,1.8,7.5)",
"Gl 486","(1.2,-2.1,7.8)",
"8 Beta Canum Venaticorum","(-1.5,1.5,8.1)",
"BD+36�2219","(-2.2,0.1,8.3)",
"NN 3839","(1.8,2.2,8.2)",
"NN 3667","(-1.8,-2.5,8.2)",
"NN 3801","(0.8,1.8,8.9)",
"Gl 451 B","(-2.5,0.5,8.8)",
"Groombridge 1830","(-2.5,0.5,8.8)",
"43 Beta Comae Berenices","(0.5,0.5,9.1)",
"61 Ursae Majoris","(-2.7,-0.2,9.1)",

"A(-1,0,1)",,
"GJ 1116","(-3.7,-1.9,3.1)",
"GJ 1116 B","(-3.7,-1.9,3.1)",
"Gl 338","(-4.4,1.2,4.2)",
"Gl 338 B","(-4.5,1.2,4.3)",
"GJ 1105","(-7.1,0.2,4)",
"NN 3421","(-8.1,2.3,3.6)",
"GJ 1138","(-4.4,-0.6,8.7)",
"Gl 339.1","(-7.3,2.1,7)",
"GJ 1119","(-7.7,0.9,6.8)",
"GJ 1134","(-5.1,-0.3,9.1)",
"Gl 356 B","(-7.4,-1.1,8.3)",
"11 Leonis Minoris","(-7.4,-1.1,8.3)",

"A(1,0,1)",,
"Gl 570","(4.6,-1.8,3.2)",
"BD-11�3759","(4.1,-1.6,4.2)",
"BD-07�4003","(4.8,-0.5,4)",
"BD-20�4123","(5.8,-2.3,4)",
"Gl 518","(3.1,-1.8,7.4)",
"Gl 595","(7.1,-1.4,3.8)",
"GJ 1207","(8.5,2.3,3.7)",
"Gl 569","(4.7,1.6,8.5)",
"12 Ophiuchi","(8.4,2,4.7)",
"Gl 568 B","(4,2.6,9)",
"BD-01�2892","(5.2,-2.4,8.4)",
"Gl 568","(4,2.6,9)",
"Gl 545","(6.8,-3,8.1)",
"27 Lambda Serpentis","(8.1,2.3,8.2)",

"A(0,1,1)",,
"Gl 445","(-2.5,3.4,3.3)",
"GJ 1221","(-1,5.2,3.1)",
"Gl 661 B","(1.6,4.8,3.7)",
"BD+45�2505","(1.6,4.8,3.7)",
"Gl 625","(0.6,4.8,4.5)",
"NN 4053","(-0.7,6.4,3.4)",
"NN 3991","(2.1,5.5,4.3)",
"Gl 623","(1.5,5.6,5.6)",
"44 Chi Draconis","(-1.7,6.9,3.8)",
"GJ 1227","(-0.2,7.3,3.8)",
"NN 3988","(1.5,7.4,5.8)",
"BD+43�2796","(2.9,7.7,4.8)",
"NN 3855","(-1.2,5.7,7.8)",
"Wo 9492","(-1.9,6.4,7.3)",
"BD+62�1325","(-2,5.6,8.2)",
"Gl 617","(-1.4,8.1,6.8)",
"Gl 617 B","(-1.4,8.2,6.8)",
"GJ 1206","(0.2,8.6,6.9)",
"GJ 1187","(-0.5,6.7,8.9)",

"A(-1,1,1)",,
"NN 3417","(-6.3,3.1,3.2)",
"Gl 424","(-4.4,4.1,6.8)",
"Gl 226","(-5.6,6.4,4)",
"NN 3512","(-7.4,3.1,6)",
"NN 3526","(-6.7,4.5,6.1)",
"Gl 487","(-3.5,5.4,7.9)",
"BD+63�869","(-6.4,3.8,7.3)",
"NN 3412","(-8.8,4.1,4.3)",
"Gl 325","(-7.4,5.5,6.6)",
"Gl 325 B","(-7.4,5.5,6.6)",
"NN 3550","(-7,6,6.8)",
"Gl 277.1","(-9,4.5,5.5)",
"Gl 362","(-7,5.5,7.3)",
"Gl 360","(-7.1,5.6,7.5)",

"A(1,1,1)",,
"BD+18�3421","(5.5,5,3.3)",
"Gl 695 B","(4.6,6,3.6)",
"Gl 695 C","(4.6,6,3.6)",
"86 Mu Herculis","(4.6,6,3.6)",
"BD+33�2777","(4.3,6.2,6.3)",
"NN 3959","(3.1,6.6,6.8)",
"NN 3976","(6,5.4,5.9)",
"BD+05�3409","(8.2,4.5,3.5)",
"Gl 609","(5.7,4,7.2)",
"BD+25�3173","(5.8,6.1,6)",
"BD+03�3465","(9,4.8,3.2)",
"Gl 635 B","(5,6.5,7)",
"40 Zeta Herculis","(5,6.5,7)",
"NN 3928","(3.9,5.8,8.3)",
"41 Gamma Serpentis","(6.9,3.6,8)",
"NN 3966","(4.7,7.2,7.7)",
"Gl 669 B","(6.8,7.8,6.2)",
"NN 3992","(4.5,8.7,6.9)",
"Gl 669","(6.8,7.8,6.2)",

"A(0,-1,1)",,
"BD+01�2447","(-2.1,-4.5,5.3)",
"BD-03�2870","(-2.5,-5.4,5.1)",
"GJ 1154","(0.9,-3.9,7.5)",
"NN 3707","(1.9,-5.8,6.5)",
"Gl 465","(2.6,-5.8,6.2)",
"Gl 357","(-2.3,-8,3.4)",
"Gl 433","(2.1,-7.7,4.2)",
"Gl 442 B","(2.9,-8.1,3.3)",
"Gl 442","(2.9,-8.1,3.3)",
"Gl 432 B","(2.2,-8.2,4.4)",
"Gl 432","(2.2,-8.2,4.4)",
"GJ 1129","(-2.7,-8.8,4.5)",
"Gl 453","(2.7,-8,5.7)",
"Gl 413.1","(0.8,-9,5.8)",
"GJ 1140","(-1.4,-8.3,8.6)",

"A(-1,-1,1)",,
"NN 3517","(-4.8,-6.1,3.6)",
"GJ 2069 B","(-6.8,-3.2,4.4)",
"GJ 1125","(-4.7,-6.4,5.5)",
"NN 3571","(-5.7,-3.5,7.7)",
"Gl 352 B","(-3.8,-8.6,4.7)",
"Gl 352","(-3.8,-8.6,4.7)",
"Gl 361","(-6.3,-5.4,7.8)",
"Gl 359","(-7.3,-4,8.8)",

"A(1,-1,1)",,
"61 Virginis","(4.1,-4.6,5.9)",
"NN 3820","(5.5,-4,5.8)",
"Gl 553.1","(7.4,-3.1,7.7)",
"NN 3804","(6.5,-5.3,7.8)",
"Gl 540.2","(7.1,-3.7,8.4)",
"NN 3800","(6.6,-5.5,8.6)",

"A(0,0,-1)",,
"52 Tau Ceti","(-1,0.1,-3.5)",
"GJ 1061","(-0.8,-2.5,-3.4)",
"Gl 1","(1,-0.3,-4.2)",
"Van Maanen's Star","(-1.3,2,-3.7)",
"Hip 15689","(-2.5,-0.9,-3.5)",
"Gl 83.1","(-2.6,1.6,-3.2)",
"Hip 114110","(1.2,1.7,-4.1)",
"GJ 1002","(-0.1,1.8,-4.3)",
"Gl 876","(1.5,1.9,-4.1)",
"GJ 1005","(0.1,1.2,-5.1)",
"Hip 114176","(2.6,0.6,-6.2)",
"GJ 2005","(0.7,0.4,-7.5)",
"Gl 915","(2.2,-1.2,-7.4)",
"Gl 884","(2.8,2.1,-7.3)",
"NN 4360","(1.2,2.6,-8.5)",
"NN 3135","(-1.8,-2,-9.1)",

"A(-1,0,-1)",,
"Gl 166 B","(-3.7,-1.4,-3.1)",
"Gl 166 C","(-3.7,-1.4,-3.1)",
"40 Omicron 2 Eridani","(-3.7,-1.4,-3.1)",
"Gl 105 B","(-4.7,1.4,-5.3)",
"Gl 105","(-4.7,1.4,-5.3)",
"NN 3193 B","(-3.8,-1.4,-6.5)",
"Gl 109","(-5.8,3,-3.9)",
"1 Pi 3 Orionis","(-7.2,-1.5,-3.1)",
"NN 3146","(-5.4,2.8,-5.9)",
"GJ 1057","(-6.2,0.5,-5.8)",
"GJ 1054 B","(-3.2,-3,-7.5)",
"NN 3128","(-5.1,2.9,-6.7)",
"23 Delta Eridani","(-6,-2,-6.5)",
"96 Kappa 1 Ceti","(-6.7,0.2,-6.3)",
"Gl 84","(-3.1,-0.4,-8.9)",
"GJ 1065","(-6.8,-1.8,-6.4)",
"NN 3253","(-8.5,1,-4.5)",
"NN 3275","(-9,0.6,-3.5)",
"NN 3119","(-4,1.5,-9)",
"Gl 87","(-5.7,2.3,-8.4)",
"Gl 117","(-5.3,-1.1,-8.8)",
"GJ 1041 B","(-5.5,2.7,-8.8)",
"NN 3192","(-5.3,-2,-9.1)",
"GJ 1055","(-8.9,1.6,-7.6)",

"A(1,0,-1)",,
"Gl 832","(3.3,-0.6,-3.6)",
"Hip 103039","(3.9,2.3,-3.1)",
"Gl 783 B","(5.2,0.5,-3.1)",
"Delta Pavonis","(4.5,-2.6,-3.3)",
"Gl 783","(5.2,0.5,-3.1)",
"Gl 784","(5.2,-0.5,-3.4)",
"NN 4285","(3.7,-2.9,-4.9)",
"NN 4274","(3.3,2.8,-6.1)",
"Gl 879","(3.1,0.9,-6.9)",
"Fomalhaut","(3.1,1.1,-7)",
"Gl 867 B","(3.5,2.7,-7.4)",
"Gl 867","(3.5,2.7,-7.4)",
"Gl 785","(7.4,2.1,-4.3)",
"Gl 803","(7.8,1.7,-6)",
"NN 4248","(6,0.7,-8)",
"Gl 799 B","(8.1,1.6,-6.1)",
"Gl 799","(8.1,1.6,-6.1)",

"A(0,1,-1)",,
"Gl 908","(-0.2,3.3,-5)",
"Gl 896 B","(-0.7,4.8,-3.9)",
"Gl 896","(-0.7,4.8,-3.9)",
"BD+15�4733","(0.3,5.4,-4.3)",
"GJ 1286","(0.4,3.7,-6.2)",
"BD+04�123","(-2.1,3.4,-6.3)",
"GJ 1276","(2,4.1,-6.6)",
"GJ 1289","(-2.3,7,-3.3)",
"NN 4247","(1,8.3,-3.2)",
"NN 3010","(-2.7,7.6,-7)",
"Hip 109119","(3,8.2,-6.2)",
"NN 4333","(-0.6,8.1,-7)",
"Gl 12","(-2.6,7.2,-8.7)",

"A(-1,1,-1)",,
"107 Piscium","(-4.2,3.7,-4.9)",
"NN 3076","(-3.7,4.4,-6.2)",
"Gl 102","(-7.2,4.1,-5.2)",
"NN 3079","(-3.1,3.1,-9.1)",
"NN 3147","(-7.4,5.8,-4.2)",
"8 Delta Trianguli","(-7.8,6,-4.6)",
"NN 3140","(-6.7,3.6,-8.1)",
"54 Piscium","(-4.1,7.3,-7.4)",
"NN 3060","(-5.1,8,-7.4)",

"A(1,1,-1)",,
"Gl 831 B","(4.5,4.2,-5.1)",
"Gl 831","(4.5,4.2,-5.1)",
"BD-05�5715","(3.5,5.1,-6.2)",
"Gl 852","(4.1,5.3,-7.7)",
"Gl 852 B","(4.1,5.3,-7.7)",
"BD+00�4810","(3.8,6.9,-6.7)",
"GJ 1265","(4.9,4,-8.3)",
"NN 4281","(4.3,4.8,-8.8)",
"49 Delta Capricorni","(6.5,5,-8.5)",
"Gl 821","(7.9,5.8,-7.2)",
"GJ 1263","(5.3,8,-7.5)",

"A(0,-1,-1)",,
"82 Eridani","(-1.1,-3.2,-5)",
"Gl 66","(1.4,-3.9,-7)",
"GJ 2034","(-1.4,-5.6,-5.7)",
"Gl 54","(2.6,-4.6,-6.2)",
"p Eridani","(1.4,-3.9,-7)",
"Hip 31292","(2.1,-7.1,-3.8)",
"Hip 31293","(2.2,-7.5,-4)",
"Alpha Mensae","(2.4,-8.6,-4.9)",
"Gl 127.1B","(2,-7,-7)",
"Gl 127.1","(2,-7,-7)",
"GJ 2036 B","(-0.8,-8.2,-6.6)",
"Gl 145","(-2,-6.2,-8.7)",
"NN 3210","(-0.1,-6.7,-8.7)",
"GJ 2036","(-0.9,-8.7,-7)",
"Gl 118","(1.7,-7.4,-8.6)",
"Zeta 1 Reticuli","(1.3,-8.1,-8.9)",
"Zeta 2 Reticuli","(1.3,-8.1,-8.9)",

"A(-1,-1,-1)",,
"Hip 20968","(-4.1,-4.6,-5.6)",
"Gl 185 B","(-5.3,-4.8,-4.6)",
"BD-21�1051","(-5.3,-4.8,-4.6)",
"Gl 183","(-7.1,-3.3,-4)",
"Gl 216 B","(-5.6,-6,-3.7)",
"13 Gamma Leporis","(-5.6,-6,-3.7)",
"NN 3325","(-6.3,-4.8,-4.8)",
"Gl 190","(-6.2,-5,-4.7)",
"NN 3306","(-7.2,-3.4,-5.3)",
"BD-11�916","(-8.1,-4.2,-6.3)",
"Hip 29052","(-6.6,-8.4,-4)",
"NN 3331","(-7.5,-6.9,-6.4)",
"NN 3332 B","(-7.5,-6.9,-6.4)",

"A(1,-1,-1)",,
"Beta Hydri","(3.3,-4.7,-4.8)",
"Zeta Tucanae","(3.3,-4.2,-6.8)",
"Gl 877","(4.4,-4.9,-5.5)",
"Gamma Pavonis","(6,-3.7,-6)",
"Hip 76362","(6,-7.3,-3.4)",
"Hip 117828","(4.7,-6.1,-6.7)",
"GJ 1277","(5.7,-3.9,-8.7)",
"Gl 902","(5.3,-6.3,-7.8)",
"Gl 842","(7.3,-3.8,-8.6)",

